r_disturb p_disturb y_disturb r_out p_out y_out y_ref p_ref r_ref time
-0.50 -0.26 0.13 0.02 0.03 0.11 -0.30 0.30 0.00 97.764
-0.53 -0.22 0.18 -0.05 0.01 0.10 -0.30 0.30 0.00 97.798
-0.54 -0.18 0.21 -0.06 -0.01 0.09 -0.30 0.30 0.00 97.830
-0.54 -0.07 0.22 -0.04 -0.09 0.05 -0.30 0.30 0.00 97.901
-0.53 -0.00 0.18 -0.01 -0.12 0.04 -0.30 0.30 0.00 97.935
-0.53 0.03 0.15 -0.03 -0.13 0.04 -0.30 0.30 0.00 97.964
-0.52 0.06 0.13 0.01 -0.11 0.02 -0.30 0.30 0.00 97.999
-0.52 0.08 0.11 0.02 -0.08 0.01 -0.30 0.30 0.00 98.032
-0.51 0.11 0.07 -0.01 0.37 0.00 -0.30 -0.30 0.00 98.064
-0.50 0.12 0.03 0.01 0.38 -0.01 -0.30 -0.30 0.00 98.098
-0.49 0.14 -0.00 0.01 0.35 -0.02 -0.30 -0.30 0.00 98.131
-0.47 0.18 -0.10 0.05 0.02 -0.12 -0.30 -0.30 0.00 98.230
-0.46 0.18 -0.14 0.07 0.01 -0.13 -0.30 -0.30 0.00 98.265
-0.45 0.17 -0.17 0.05 0.01 -0.14 -0.30 -0.30 0.00 98.299
-0.44 0.17 -0.21 0.08 0.01 -0.13 -0.30 -0.30 0.00 98.332
-0.43 0.15 -0.24 0.07 0.01 -0.12 -0.30 -0.30 0.00 98.367
-0.42 0.14 -0.27 0.10 0.02 -0.11 -0.30 -0.30 0.00 98.399
-0.40 0.11 -0.30 0.11 0.03 -0.10 -0.30 -0.30 0.00 98.432
-0.38 0.08 -0.32 0.10 0.06 -0.09 -0.30 -0.30 0.00 98.465
-0.35 0.06 -0.34 0.08 0.10 -0.08 -0.30 -0.30 0.00 98.498
-0.32 0.02 -0.37 0.05 0.12 -0.08 -0.30 -0.30 0.00 98.532
-0.30 -0.03 -0.38 0.05 0.15 -0.08 -0.30 -0.30 0.00 98.565
-0.28 -0.06 -0.39 0.01 0.16 -0.06 -0.30 -0.30 0.00 98.598
-0.26 -0.11 -0.38 -0.04 0.15 -0.04 -0.30 -0.30 0.00 98.634
-0.25 -0.15 -0.37 -0.07 0.16 -0.02 -0.30 -0.30 0.00 98.667
-0.27 -0.23 -0.30 0.04 0.13 0.06 -0.30 -0.30 0.00 98.765
-0.29 -0.25 -0.28 -0.03 0.09 0.06 -0.30 -0.30 0.00 98.798
-0.30 -0.26 -0.25 0.03 0.10 0.08 -0.30 -0.30 0.00 98.831
-0.32 -0.27 -0.21 0.06 0.09 0.09 -0.30 -0.30 0.00 98.867
-0.34 -0.27 -0.18 0.07 0.10 0.10 -0.30 -0.30 0.00 98.898
-0.36 -0.27 -0.14 -0.00 0.09 0.11 -0.30 -0.30 0.00 98.931
-0.38 -0.26 -0.09 0.03 0.10 0.12 -0.30 -0.30 0.00 98.966
-0.41 -0.24 -0.06 0.03 0.10 0.12 -0.30 -0.30 0.00 98.999
-0.43 -0.21 -0.01 0.01 0.08 0.13 -0.30 -0.30 0.00 99.033
-0.45 -0.18 0.02 0.02 0.06 0.12 -0.30 -0.30 0.00 99.065
-0.45 -0.14 0.03 0.08 0.04 0.11 -0.30 -0.30 0.00 99.098
-0.47 -0.08 0.06 0.05 -0.01 0.08 -0.30 -0.30 0.00 99.163
-0.47 -0.05 0.07 -0.03 -0.01 0.07 -0.30 -0.30 0.00 99.200
-0.47 -0.03 0.07 -0.04 -0.01 0.08 -0.30 -0.30 0.00 99.232
-0.46 0.01 0.06 -0.09 -0.03 0.06 -0.30 -0.30 0.00 99.263
-0.46 0.03 0.05 -0.06 -0.04 0.04 -0.30 -0.30 0.00 99.299
-0.46 0.06 0.03 -0.08 -0.05 0.03 -0.30 -0.30 0.00 99.334
-0.46 0.08 0.01 -0.06 -0.06 0.02 -0.30 -0.30 0.00 99.372
-0.45 0.10 -0.03 -0.02 -0.06 0.00 -0.30 -0.30 0.00 99.405
-0.45 0.11 -0.06 -0.02 -0.06 -0.02 -0.30 -0.30 0.00 99.436
-0.44 0.13 -0.09 -0.02 -0.05 -0.03 -0.30 -0.30 0.00 99.466
-0.44 0.14 -0.11 -0.06 -0.06 -0.04 -0.30 -0.30 0.00 99.499
-0.43 0.14 -0.14 -0.06 -0.05 -0.05 -0.30 -0.30 0.00 99.533
-0.42 0.14 -0.16 -0.03 -0.04 -0.07 -0.30 -0.30 0.00 99.563
-0.42 0.14 -0.19 0.08 -0.02 -0.07 -0.30 -0.30 0.00 99.596
-0.40 0.13 -0.22 0.03 -0.01 -0.09 -0.30 -0.30 0.00 99.632
-0.39 0.12 -0.24 0.02 -0.00 -0.10 -0.30 -0.30 0.00 99.665
-0.38 0.12 -0.27 0.00 0.01 -0.10 -0.30 -0.30 0.00 99.699
-0.37 0.11 -0.30 0.04 0.01 -0.10 -0.30 -0.30 0.00 99.733
-0.36 0.10 -0.32 0.01 0.02 -0.10 -0.30 -0.30 0.00 99.764
-0.34 0.08 -0.34 0.05 0.03 -0.10 -0.30 -0.30 0.00 99.796
-0.32 0.06 -0.35 0.03 0.04 -0.10 -0.30 -0.30 0.00 99.831
-0.31 0.04 -0.37 0.01 0.07 -0.10 -0.30 -0.30 0.00 99.864
-0.28 0.02 -0.39 0.04 0.07 -0.09 -0.30 -0.30 0.00 99.896
-0.26 -0.01 -0.40 0.05 0.09 -0.09 -0.30 -0.30 0.00 99.931
-0.23 -0.13 -0.36 0.09 0.12 -0.04 -0.30 -0.30 0.00 100.032
-0.23 -0.16 -0.34 0.01 0.15 0.27 0.00 -0.30 0.00 100.062
-0.23 -0.20 -0.31 -0.02 0.15 0.28 0.00 -0.30 0.00 100.096
-0.24 -0.23 -0.29 -0.02 0.16 0.29 0.00 -0.30 0.00 100.129
-0.31 -0.26 -0.14 0.01 0.12 0.10 0.00 -0.30 0.00 100.266
-0.33 -0.25 -0.11 -0.05 0.11 0.11 0.00 -0.30 0.00 100.300
-0.35 -0.25 -0.06 -0.03 0.10 0.12 0.00 -0.30 0.00 100.335
-0.37 -0.23 -0.02 -0.06 0.09 0.10 0.00 -0.30 0.00 100.366
-0.40 -0.22 0.02 -0.01 0.08 0.10 0.00 -0.30 0.00 100.398
-0.41 -0.20 0.05 -0.07 0.07 0.11 0.00 -0.30 0.00 100.431
-0.43 -0.17 0.07 -0.09 0.06 0.10 0.00 -0.30 0.00 100.463
-0.44 -0.14 0.09 -0.04 0.04 0.10 0.00 -0.30 0.00 100.497
-0.45 -0.12 0.11 -0.07 0.02 0.10 0.00 -0.30 0.00 100.531
-0.45 -0.08 0.11 -0.14 -0.01 0.09 0.00 -0.30 0.00 100.562
-0.45 -0.05 0.11 -0.16 -0.02 0.09 0.00 -0.30 0.00 100.599
-0.44 -0.01 0.09 -0.05 -0.03 0.08 0.00 -0.30 0.00 100.637
-0.41 0.06 0.01 -0.04 -0.07 0.01 0.00 -0.30 0.00 100.731
-0.39 0.07 -0.02 -0.02 -0.07 0.00 0.00 -0.30 0.00 100.764
-0.38 0.07 -0.05 -0.01 -0.05 -0.01 0.00 -0.30 0.00 100.796
-0.36 0.07 -0.07 -0.03 -0.03 -0.03 0.00 -0.30 0.00 100.830
-0.34 0.07 -0.10 -0.06 -0.03 -0.04 0.00 -0.30 0.00 100.864
-0.33 0.08 -0.14 -0.07 -0.02 -0.06 0.00 -0.30 0.00 100.896
-0.31 0.08 -0.16 -0.00 -0.02 -0.08 0.00 -0.30 0.00 100.929
-0.30 0.08 -0.17 -0.07 -0.03 -0.09 0.00 -0.30 0.00 100.962
-0.28 0.07 -0.19 -0.01 -0.00 -0.10 0.00 -0.30 0.00 100.996
-0.26 0.04 -0.20 -0.01 0.02 -0.10 0.00 -0.30 0.00 101.032
-0.25 0.01 -0.20 -0.06 0.05 -0.10 0.00 -0.30 0.00 101.063
-0.25 -0.02 -0.19 -0.03 0.08 -0.09 0.00 -0.30 0.00 101.099
-0.24 -0.05 -0.18 -0.07 0.10 -0.08 0.00 -0.30 0.00 101.130
-0.25 -0.08 -0.17 -0.12 0.12 -0.07 0.00 -0.30 0.00 101.163
-0.25 -0.14 -0.16 -0.11 0.12 -0.05 0.00 -0.30 0.00 101.200
-0.25 -0.18 -0.15 0.01 0.15 -0.03 0.00 -0.30 0.00 101.233
-0.26 -0.23 -0.13 0.04 0.16 -0.02 0.00 -0.30 0.00 101.263
-0.31 -0.35 -0.09 -0.01 0.10 0.04 0.00 -0.30 0.00 101.395
-0.32 -0.37 -0.08 0.07 0.11 0.06 0.00 -0.30 0.00 101.428
-0.33 -0.39 -0.08 -0.03 0.09 0.06 0.00 -0.30 0.00 101.463
-0.35 -0.42 -0.07 0.10 0.10 0.07 0.00 -0.30 0.00 101.496
-0.36 -0.45 -0.05 0.09 0.10 0.09 0.00 -0.30 0.00 101.531
-0.37 -0.46 -0.04 0.01 0.10 0.10 0.00 -0.30 0.00 101.562
-0.39 -0.48 -0.03 -0.02 0.09 0.10 0.00 -0.30 0.00 101.595
-0.41 -0.49 -0.01 -0.06 0.10 0.10 0.00 -0.30 0.00 101.628
-0.43 -0.48 0.01 -0.06 0.09 0.10 0.00 -0.30 0.00 101.663
-0.44 -0.47 0.02 0.00 0.07 0.10 0.00 -0.30 0.00 101.697
-0.45 -0.46 0.04 -0.02 0.07 0.09 0.00 -0.30 0.00 101.728
-0.47 -0.45 0.06 -0.06 0.07 0.08 0.00 -0.30 0.00 101.763
-0.49 -0.43 0.08 0.00 0.06 0.08 0.00 -0.30 0.00 101.794
-0.51 -0.39 0.10 -0.00 0.04 0.08 0.00 -0.30 0.00 101.827
-0.51 -0.35 0.09 0.00 0.02 0.09 0.00 -0.30 0.00 101.864
-0.52 -0.31 0.09 -0.07 -0.02 0.09 0.00 -0.30 0.00 101.895
-0.52 -0.27 0.08 -0.04 -0.05 0.09 0.00 -0.30 0.00 101.928
-0.52 -0.23 0.06 -0.10 -0.06 0.09 0.00 -0.30 0.00 101.962
-0.52 -0.19 0.03 -0.05 -0.07 0.07 0.00 -0.30 0.00 101.997
-0.52 -0.17 0.02 -0.12 -0.06 0.06 0.00 -0.30 0.00 102.030
-0.51 -0.17 0.00 -0.10 -0.27 0.04 0.00 0.00 0.00 102.061
-0.51 -0.17 -0.01 -0.02 -0.25 0.02 0.00 0.00 0.00 102.095
-0.51 -0.17 -0.04 -0.09 -0.23 0.02 0.00 0.00 0.00 102.127
-0.49 -0.17 -0.06 -0.01 0.03 -0.01 0.00 0.00 0.00 102.227
-0.49 -0.14 -0.07 -0.02 0.01 -0.02 0.00 0.00 0.00 102.261
-0.47 -0.11 -0.09 0.03 -0.01 -0.03 0.00 0.00 0.00 102.295
-0.45 -0.06 -0.11 -0.00 -0.05 -0.06 0.00 0.00 0.00 102.363
-0.45 -0.05 -0.12 -0.06 -0.06 -0.07 0.00 0.00 0.00 102.396
-0.44 -0.05 -0.11 0.00 -0.03 -0.08 0.00 0.00 0.00 102.430
-0.43 -0.04 -0.10 -0.04 -0.02 -0.08 0.00 0.00 0.00 102.462
-0.42 -0.04 -0.11 0.04 -0.01 -0.08 0.00 0.00 0.00 102.494
-0.41 -0.03 -0.12 -0.04 -0.01 -0.08 0.00 0.00 0.00 102.530
-0.41 -0.03 -0.12 0.05 -0.02 -0.07 0.00 0.00 0.00 102.561
-0.40 -0.03 -0.12 -0.05 -0.02 -0.07 0.00 0.00 0.00 102.595
-0.39 -0.04 -0.12 -0.05 -0.01 -0.07 0.00 0.00 0.00 102.632
-0.38 -0.03 -0.11 -0.07 -0.01 -0.07 0.00 0.00 0.00 102.662
-0.37 -0.01 -0.11 -0.06 -0.01 -0.07 0.00 0.00 0.00 102.696
-0.36 -0.00 -0.11 -0.04 -0.01 -0.07 0.00 0.00 0.00 102.731
-0.34 0.01 -0.12 -0.00 -0.01 -0.07 0.00 0.00 0.00 102.763
-0.32 0.03 -0.13 -0.03 -0.03 -0.08 0.00 0.00 0.00 102.796
-0.32 0.05 -0.14 0.03 -0.03 -0.09 0.00 0.00 0.00 102.830
-0.30 0.07 -0.15 0.07 -0.03 -0.09 0.00 0.00 0.00 102.863
-0.28 0.08 -0.17 0.04 -0.02 -0.10 0.00 0.00 0.00 102.894
-0.26 0.10 -0.20 0.06 -0.03 -0.11 0.00 0.00 0.00 102.929
-0.24 0.11 -0.21 0.04 -0.02 -0.12 0.00 0.00 0.00 102.962
-0.22 0.12 -0.22 0.05 -0.01 -0.11 0.00 0.00 0.00 102.995
-0.20 0.11 -0.23 0.03 -0.01 -0.11 0.00 0.00 0.00 103.030
-0.19 0.10 -0.24 0.06 0.01 -0.10 0.00 0.00 0.00 103.061
